Question,Expected Article
"I placed an order for a new charger, what are your current shipping times?",https://support.halocollar.com/hc/en-us/articles/360048652194-When-Will-I-Receive-My-Collar-Will-I-Get-a-Shipping-Notification
So it's not actually water proof?,https://support.halocollar.com/hc/en-us/articles/15972845782807-How-to-Care-for-your-Halo-Collar
Charging port broke,https://support.halocollar.com/hc/en-us/articles/26674327212695-How-To-Initiate-A-Warranty-Exchange
"Hello, I bought a halo less than 2 months ago and the prongs keep falling off, ive gone through 3 now, also my dog was getting warning feedback from inside my house",https://support.halocollar.com/hc/en-us/articles/26674327212695-How-To-Initiate-A-Warranty-Exchange
How do I return my collars they are defective,https://support.halocollar.com/hc/en-us/articles/26674327212695-How-To-Initiate-A-Warranty-Exchange
My dog's collar is not showing it's correct location.,https://support.halocollar.com/hc/en-us/articles/360056114854-My-Dog-s-Location-Is-Not-Accurate-in-the-App
"Hello, how can I get more information about the dog whistle recall?",https://support.halocollar.com/hc/en-us/articles/360046141293-How-to-Issue-or-Manage-Prevention-and-Encouragement-Feedback
Collars location is inaccurate causing the collar to activate as if the collar is approaching the boundary set but in reality is not near the boundary,https://support.halocollar.com/hc/en-us/articles/4423813191959-How-to-Adjust-My-Collar-s-GPS-Signal-Level-Settings
How do you turn up the emergency shock,https://support.halocollar.com/hc/en-us/search?utf8=%E2%9C%93&query=How+to+Issue+or+Manage+Prevention+and+Encouragement+Feedback
My dogs collar thinks me dog is at the neighbors house when he is inside my house,https://support.halocollar.com/hc/en-us/articles/4423813191959-How-to-Adjust-My-Collar-s-GPS-Signal-Level-Settings
My collar keeps shocking my dog in our house,https://support.halocollar.com/hc/en-us/articles/4423813191959-How-to-Adjust-My-Collar-s-GPS-Signal-Level-Settings
The collar has been fitted properly several times and it continues to loosen as she wears it.,https://support.halocollar.com/hc/en-us/articles/360041129234-How-to-Replace-the-Halo-Collar-Strap-With-My-Own-Collar-Strap
Hello. My dogs collar continues to loosen.,https://support.halocollar.com/hc/en-us/articles/360041129234-How-to-Replace-the-Halo-Collar-Strap-With-My-Own-Collar-Strap
My dog has zero response to any level on the collar.,https://support.halocollar.com/hc/en-us/articles/360046141293-How-to-Issue-or-Manage-Prevention-and-Encouragement-Feedback
Collar gives feedback too late,https://support.halocollar.com/hc/en-us/articles/4423813191959-How-to-Adjust-My-Collar-s-GPS-Signal-Level-Settings
My collar gps is not accurate,https://support.halocollar.com/hc/en-us/articles/4423813191959-How-to-Adjust-My-Collar-s-GPS-Signal-Level-Settings
Would like a refund of monthly service charge. service never used and collar being returned.,https://support.halocollar.com/hc/en-us/articles/19429999673879-How-to-Cancel-Your-Halo-Collar-Membership-Plan
The collar says my dog is 300 yard from me however he is actually sitting next to me also it says he's out of bounds,https://support.halocollar.com/hc/en-us/articles/4423813191959-How-to-Adjust-My-Collar-s-GPS-Signal-Level-Settings
Fence feedback turned off,https://support.halocollar.com/hc/en-us/articles/1500004976661-What-Does-Low-Medium-and-High-GPS-mean
Nothing happens when I push the power button.,https://support.halocollar.com/hc/en-us/articles/23546405468439-How-to-Power-Cycle-your-Halo-Collar
What is the charge for Halo protection only?,https://support.halocollar.com/hc/en-us/articles/4407672236055-What-is-Halo-Care
My collar cannot find gps satellite,https://support.halocollar.com/hc/en-us/articles/360057959713-How-Accurate-Is-the-Halo-Collar-s-GPS
"The collar is not working for my dog. Fearful anxious. Won't go outside. Finding corners of the house to pee. Completely altered her personality. I keep persisting with the encouragement features and have not even been able to turn on my fence. I've tried it for 6 weeks diligently and no positive associations despite treats, praise, and petting as consistent rewards. My whole family wants me to stop using it but I have persisted because it would be such a gift to keep her safely enclosed on our busy front yard road.",https://support.halocollar.com/hc/en-us/articles/23537740338327-Revisiting-Training
Collar doesn't consistently follow boundary,https://support.halocollar.com/hc/en-us/articles/360057568033-My-Dog-Receives-Prevention-Feedback-While-Inside-the-House-and-or-Fence-Boundary
Contact tips from old collar are too small for replacement collar,https://support.halocollar.com/hc/en-us/articles/360041127614-How-to-Select-and-Install-the-Contact-Tips
"I want to buy a halo three collar. My puppy will eventually be 150 pound dog. I need to know if now at four months old I can use the same collar as when he is three times this size? I have seen videos about cutting the collard to fit well I only wanna buy one collar, and the size will not fit the puppy now",https://support.halocollar.com/hc/en-us/articles/1500007359081-What-Size-Should-I-get-Halo-Collar-3-2
I'm unable to locate the wifi network connected to the collar,https://support.halocollar.com/hc/en-us/articles/4404275009815-Collar-Not-Connecting-to-WIFI
Can Halo be used in Canada?,https://support.halocollar.com/hc/en-us/articles/360044464094-Will-It-Work-Worldwide-Where-do-you-Ship-to
Can't find refer a friend,https://support.halocollar.com/hc/en-us/articles/11808911519639-How-to-Refer-a-Friend-to-Halo-Collar
What is the range setting on a beacon,https://support.halocollar.com/hc/en-us/articles/23539054577431-What-is-the-Halo-Beacon-Range
Where do I adjust the mode?,https://support.halocollar.com/hc/en-us/articles/5571078213271-How-Does-Halo-Collar-Encourage-Dogs-to-Come-Home
I read that you can get a discount on 2 or more collars purchased.,https://support.halocollar.com/hc/en-us/articles/6177551132567-How-Does-the-Multi-Dog-Discount-Work
I am still having trouble trying to purchase 4 collars,https://support.halocollar.com/hc/en-us/articles/16928320022167-How-to-Upgrade-to-a-Halo-Collar-4
Is there no way that it can be on both of our accounts we will both be working with my dog Finn,https://support.halocollar.com/hc/en-us/articles/360057081194-Does-My-Family-Have-to-Share-the-Same-Login-Information
How do I return my collars,https://support.halocollar.com/hc/en-us/articles/4410952489623-How-to-Return-Your-Halo-Collar-for-a-Refund
can I downgrade my subscription?,https://support.halocollar.com/hc/en-us/articles/13705290446871-How-to-Change-Your-Halo-Collar-Membership-Plan
Don't see billing in left hand side,https://support.halocollar.com/hc/en-us/articles/14359172627479-How-Do-I-Edit-My-Billing-Information'
Where does the collar ship from,https://support.halocollar.com/hc/en-us/articles/360044464094-Will-It-Work-Worldwide-Where-do-you-Ship-to
