Query,Contexts
To which countries does the company currently ship the Halo Collar?,"article: Will It Work Worldwide? Where do you Ship to?
=============================================

At this time, we are shipping to the **United States and Canada!**

**Please Note:** We do not ship to the Yukon and Quebec territories at this time.  
  
That said, the Halo collar will work anywhere that has Wi-Fi and/or cellular coverage in order to make changes or see real-time updates. We plan on moving to ship the Halo Collar worldwide.

Additional Notes
----------------

We're here to help, so don't hesitate to join our virtual Dog Park if you have any questions: [How to Contact Customer Support](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support) article: <h1>Will It Work Worldwide? Where Do You Ship To?</h1>At this time, we are shipping to the **United States and Canada!**

**Please Note:** We do not ship to the Yukon and Quebec territories at this time.  
  
That said, the Halo collar will work anywhere that has Wi-Fi and/or cellular coverage in order to make changes or see real-time updates. We plan on moving to ship the Halo Collar worldwide.

Additional Notes
----------------

We're here to help, so don't hesitate to join our virtual Dog Park if you have any questions: [How to Contact Customer Support](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support)

### Recently viewed articles

*   [How Accurate Are Halo Fences Compared to Other “Wired” Fences?](https://support.halocollar.com/hc/en-us/articles/360044467134-How-Accurate-Are-Halo-Fences-Compared-to-Other-Wired-Fences)
*   [How Has Cesar Millan Been Involved in the Design of the Halo System?](https://support.halocollar.com/hc/en-us/articles/360044463994-How-Has-Cesar-Millan-Been-Involved-in-the-Design-of-the-Halo-System)
*   [How Is Halo Different From Other “Smart” Collars?"
"Are there any specific territories within Canada where the Halo Collar is not shipped? If so, name them.","article: Will It Work Worldwide? Where do you Ship to?
=============================================

At this time, we are shipping to the **United States and Canada!**

**Please Note:** We do not ship to the Yukon and Quebec territories at this time.  
  
That said, the Halo collar will work anywhere that has Wi-Fi and/or cellular coverage in order to make changes or see real-time updates. We plan on moving to ship the Halo Collar worldwide.

Additional Notes
----------------

We're here to help, so don't hesitate to join our virtual Dog Park if you have any questions: [How to Contact Customer Support](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support) article: <h1>Will It Work Worldwide? Where Do You Ship To?</h1>At this time, we are shipping to the **United States and Canada!**

**Please Note:** We do not ship to the Yukon and Quebec territories at this time.  
  
That said, the Halo collar will work anywhere that has Wi-Fi and/or cellular coverage in order to make changes or see real-time updates. We plan on moving to ship the Halo Collar worldwide.

Additional Notes
----------------

We're here to help, so don't hesitate to join our virtual Dog Park if you have any questions: [How to Contact Customer Support](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support)

### Recently viewed articles

*   [How Accurate Are Halo Fences Compared to Other “Wired” Fences?](https://support.halocollar.com/hc/en-us/articles/360044467134-How-Accurate-Are-Halo-Fences-Compared-to-Other-Wired-Fences)
*   [How Has Cesar Millan Been Involved in the Design of the Halo System?](https://support.halocollar.com/hc/en-us/articles/360044463994-How-Has-Cesar-Millan-Been-Involved-in-the-Design-of-the-Halo-System)
*   [How Is Halo Different From Other “Smart” Collars?"
What are the requirements for the Halo Collar to function properly in terms of connectivity?,"article: <h1>Halo Collar Overview (Halo 3, 2+, 2, 1)</h1>Welcome to Halo Collar! We’re raising the bar for wireless smart fences and smart collars everywhere. Halo includes all the features you need in one smart solution, so you can bring your best friend the best safety possible.

Take a moment to review the front and rear diagrams to help you get familiar with your Halo Collar.

Front View
----------

![mceclip0.png](https://support.halocollar.com/hc/article_attachments/360068969794)

**1**

Logo Light (Bluetooth connection indicator)

**2**

Power

**3**

Battery / Charge indicator Light

**4**

GPS indicator Light

**5**

Waterproof speaker port

**6**

USB-C Charging and upgrade Port

**7**

Strap retention loop (qty 2)

Rear View
---------

![mceclip2.png](https://support.halocollar.com/hc/article_attachments/360070061953)

**1**

USB-C Charging and alternate upgrade port

**2**

Contact tips - two (2) screw-in contact tips (blanks shown)

**3**

Collar flex-points – these flex to allow the collar to properly fit your dog's neck 

**4**

Strap retention loop - two (2) loops for collar retention and replacement.  One is affixed to each end of the Halo Collar

**5**

Thumbscrew – two (2) screws.  One to secure each of the strap retention loops

**6**

Collar strap buckle

**7**

Collar Strap - Leash-fastening ring (see the **SAFETY NOTE** below)

### Recently viewed articles

### Related articles article: <h1>Collar Not Connecting to Cellular LTE</h1>The Halo Collar utilizes LTE coverage to update its location on the Map within the Halo App in real-time. To update the collar's location on the Map, it needs to be connected to LTE, WiFi, or Bluetooth. However, even without these connections, the collar will still function to keep your pup within the safe zone by using GPS data.

If your Halo Collar is not connecting to LTE, kindly attempt the following:

1.  It's important to regularly check the firmware of your e-collar. This ensures that it is up-to-date and functioning optimally. You can find instructions on how to review and update the firmware [in this article](https://support.halocollar.com/hc/en-us/articles/360057563873-How-to-Check-What-Firmware-Version-Is-Running-on-My-Halo-Collar).
2.  Ensure that your e-collar successfully transitions from Wi-Fi to LTE whenever you walk outside and leave the Wi-Fi range. This transition is essential to maintaining a seamless connection. Unplugging the router is preferred for this step. 
3.  Check the collar diagnostics in your **Collar Settings** and view the LTE module specifically. If you receive a message stating that the LTE module is not working properly, please contact our [customer support team](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support).

**Test on an Alternate Device**: If possible, try using the collar's LTE functionality on an alternate device, such as a tablet with cellular capabilities or a friend or family member's phone. This can help determine if the issue is specific to your current device or the collar.

**Please Note:** If you have a Halo 3, your collar can connect to any available cellular carrier and will automatically connect to the strongest LTE connection in your area. If you have a Halo 2+ or older, your collar will only be able to connect to an AT&T connection.

In addition, we'd like to share some additional resources about LTE coverage:

If you need further assistance, our team is dedicated to resolving this matter for you. If you have any further questions or need additional assistance, please do not hesitate to [contact our customer support](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support). We are here to help!

### Recently viewed articles

### Related articles"
What future plans does the company have regarding the shipping of the Halo Collar?,"article: <h1>What Shipping Service Does Halo Collar Use?</h1>At this time, all Halo Collar shipments are sent with FedEx 2-Day as the shipping speed (unless otherwise requested when purchasing [Accessories](https://www.halocollar.com/main-shop/#accessories)). 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

While we're only able to ship via Fed-Ex 2-Day at this time, we'll be happy to research other options to help. Please visit us in the [virtual Dog Park](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support) for further assistance. 

### Recently viewed articles

*   [What is the Difference Between a New Halo Collar and a Like-New Halo Collar?](https://support.halocollar.com/hc/en-us/articles/13792316955543-What-is-the-Difference-Between-a-New-Halo-Collar-and-a-Like-New-Halo-Collar)
*   [What Are the Main Features of the Halo Collar?](https://support.halocollar.com/hc/en-us/articles/14733684677783-What-Are-the-Main-Features-of-the-Halo-Collar)
*   [Can I Order More Accessories?](https://support.halocollar.com/hc/en-us/articles/16541736405399-Can-I-Order-More-Accessories)
*   [What Are Halo Membership Plans and Why Do I Need One?](https://support.halocollar.com/hc/en-us/articles/4408451447319-What-Are-Halo-Membership-Plans-and-Why-Do-I-Need-One)
*   [How to Start a Halo Membership Plan](https://support.halocollar.com/hc/en-us/articles/5576812564503-How-to-Start-a-Halo-Membership-Plan)

### Related articles

*   [How to Contact Customer Support](https://support.halocollar.com/hc/en-us/related/click?data=BAh7CjobZGVzdGluYXRpb25fYXJ0aWNsZV9pZGwrCPYXS9RTADoYcmVmZXJyZXJfYXJ0aWNsZV9pZGwrCJcWUNTKCToLbG9jYWxlSSIKZW4tdXMGOgZFVDoIdXJsSSJEL2hjL2VuLXVzL2FydGljbGVzLzM2MDA0Mzk3NjY5NC1Ib3ctdG8tQ29udGFjdC1DdXN0b21lci1TdXBwb3J0BjsIVDoJcmFua2kG--1a9051f51fa28c1e65d4d890b406c747683fec8a)
*   [When Will I Receive My Collar? Will I Get a Shipping Notification? article: <h1>When Will I Receive My Collar? Will I Get a Shipping Notification?</h1>Your Halo Collar's Shipping time will be indicated when you choose a color and size for your order at our [Halo Shop!](https://www.halocollar.com/shop-wireless-dog-fence/)

The Halo kits will typically ship out 3-5 days after your order is placed. This may vary depending on the color of your collar. You will receive an email from us that confirms your purchase and also another email that lets you know that your collar has shipped.

If you don't receive an email from us about your purchase or if you have any further questions or concerns, please reach out to us using the following article: [How to Contact Customer Support.](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support)

### Recently viewed articles

*   [Where is my order?](https://support.halocollar.com/hc/en-us/articles/360044329174-Where-is-my-order)
*   [Why Doesn’t Affirm Show Up as a Method of Payment?](https://support.halocollar.com/hc/en-us/articles/360058313034-Why-Doesn-t-Affirm-Show-Up-as-a-Method-of-Payment)
*   [Halo Order FAQs](https://support.halocollar.com/hc/en-us/articles/1500007726202-Halo-Order-FAQs)
*   [Halo Shipping FAQs](https://support.halocollar.com/hc/en-us/articles/1500007726322-Halo-Shipping-FAQs)
*   [How to Confirm if I Have 2.4 GHz WiFi and See Where It Covers Within My Home](https://support.halocollar.com/hc/en-us/articles/360059228914-How-to-Confirm-if-I-Have-2-4-GHz-WiFi-and-See-Where-It-Covers-Within-My-Home)

### Related articles

*   [How to Contact Customer Support](https://support.halocollar.com/hc/en-us/related/click?data=BAh7CjobZGVzdGluYXRpb25fYXJ0aWNsZV9pZGwrCPYXS9RTADoYcmVmZXJyZXJfYXJ0aWNsZV9pZGwrCKJvktRTADoLbG9jYWxlSSIKZW4tdXMGOgZFVDoIdXJsSSJEL2hjL2VuLXVzL2FydGljbGVzLzM2MDA0Mzk3NjY5NC1Ib3ctdG8tQ29udGFjdC1DdXN0b21lci1TdXBwb3J0BjsIVDoJcmFua2kG--edd9535bde4ffdfc256bca932940e0d9cd6fe608)
*   [What Shipping Service Does Halo Collar Use?"
Where can customers go if they have questions or need assistance with the Halo Collar?,"article: <h1>Contact Us - Halo Collar Help Center</h1>### Menu

*   [
    
    Video Tutorials
    
    ](https://support.halocollar.com/hc/en-us/categories/4403367340567-Video-Tutorials)
*   [
    
    KCS/Knowledge Capture
    
    ](https://support.halocollar.com/hc/en-us/categories/1500000277101-KCS-Knowledge-Capture)
*   [
    
    Halo Collar Owner Manual
    
    ](https://support.halocollar.com/hc/en-us/categories/360002906034-Halo-Collar-Owner-Manual)
*   [
    
    Contact Us
    
    ](https://support.halocollar.com/hc/en-us/categories/360003147273-Contact-Us)
*   [
    
    Halo Phone App
    
    ](https://support.halocollar.com/hc/en-us/categories/360002906094-Halo-Phone-App)
*   [
    
    General Questions
    
    ](https://support.halocollar.com/hc/en-us/categories/360002884934-General-Questions)
*   [
    
    Troubleshooting
    
    ](https://support.halocollar.com/hc/en-us/categories/360006007173-Troubleshooting)
*   [
    
    Halo Restricted
    
    ](https://support.halocollar.com/hc/en-us/categories/360003274053-Halo-Restricted)
*   [
    
    Important Documents
    
    ](https://support.halocollar.com/hc/en-us/categories/4411248888471-Important-Documents)

### [Customer Support Options](https://support.halocollar.com/hc/en-us/sections/360007629913-Customer-Support-Options ""Customer Support Options"")

*   [How to Sign up for Live Gold Events](https://support.halocollar.com/hc/en-us/articles/19101006501655-How-to-Sign-up-for-Live-Gold-Events ""How to Sign up for Live Gold Events"")
*   [How to Contact Customer Support](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support ""How to Contact Customer Support"") article: <h1>Customer Support Options - Halo Collar Help Center</h1>[Follow](# ""Opens a sign-in dialog"") [New articles](https://support.halocollar.com/hc/en-us/sections/360007629913-Customer-Support-Options/subscription.html?subscribe_to_grandchildren=false) [New articles and comments](https://support.halocollar.com/hc/en-us/sections/360007629913-Customer-Support-Options/subscription.html?subscribe_to_grandchildren=true)

We offer support via chat, live Dog Park hours, email, and phone."
"How does the Halo Collar compare in accuracy to other types of fences, according to the recently viewed articles?","article: <h1>How Accurate Are Halo Fences Compared to Other “Wired” Fences?</h1>The advanced GPS/GNSS system of the Halo Collar is extremely accurate. It uses the latest geolocation technology and is more accurate than your smart phone. Halo Fences are not created using a wire, so they can't be cut, damaged, and don't need to be installed underground. In addition, Halo Fence posts can be placed anywhere, and are not limited by geography or other obstacles that prevent the installation of a wire.

![Screenshot 2024-07-23 at 2.25.08 PM.png](https://support.halocollar.com/hc/article_attachments/25111635799063)

### Recently viewed articles

*   [How Has Cesar Millan Been Involved in the Design of the Halo System?](https://support.halocollar.com/hc/en-us/articles/360044463994-How-Has-Cesar-Millan-Been-Involved-in-the-Design-of-the-Halo-System)
*   [How Is Halo Different From Other “Smart” Collars?](https://support.halocollar.com/hc/en-us/articles/360044463454-How-Is-Halo-Different-From-Other-Smart-Collars)
*   [How to Change the Battery of a Halo Beacon](https://support.halocollar.com/hc/en-us/articles/1500005363602-How-to-Change-the-Battery-of-a-Halo-Beacon)
*   [How to Turn My Halo Beacon on or Off](https://support.halocollar.com/hc/en-us/articles/4411455111831-How-to-Turn-My-Halo-Beacon-on-or-Off)
*   [How to Add a Beacon to Your Halo App](https://support.halocollar.com/hc/en-us/articles/4409307627159-How-to-Add-a-Beacon-to-Your-Halo-App)

### Related articles

*   [Does the Halo Collar Require Me To Have Cellular Service? article: <h1>Why Is Halo Better Than Wired Fences?</h1>For anyone considering purchasing a Halo Collar or an electric fence to keep their dog safe, here are some reasons to consider why Halo is the superior option:

**More secure**

The Halo Collar offers multiple levels of feedback to prevent your dog from leaving its safe area. These levels include a warning when the dog is approaching the Halo Fence boundary, another level of boundary feedback if the dog ignores the warning, and a third level of emergency feedback if the dog crosses the fence and continues to move away from its safe area. For more info, see the article [""When does the collar give prevention feedback?""](https://support.halocollar.com/hc/en-us/articles/360061320413)

With Halo, the owner gets an alert as soon as their pup receives Prevention Feedback. If your dog crosses the fence boundary, the collar then offers continuous Emergency Feedback while your dog continues to move away from boundary - and once your dog stops moving or starts to head back to their safe area, the Prevention Feedback stops and an encouraging Return Whistle is provided to guide your pup home.

This is a much more comprehensive system for keeping the dog inside the fence than a wired fence, which is one boundary and only offers a singular shock as a deterrent to the dog. Additionally, if your dog leaves the safe area, a wired fence offers no ability to track them, while Halo allows you to monitor their location in real time.

A wired fence also may shock the dog when they try to re-enter the fenced area after leaving, while the Halo Collar will not provide Prevention Feedback to a dog who is returning to safety.

Wired fences are also less reliable in that they don't work if the power is out or the wire gets cut or damaged.

**More convenient**

[Creating a Halo Fence](https://support.halocollar.com/hc/en-us/articles/360042921594) doesn't require you to dig up your yard the way wired fences do. Setting up a wired fence is an intrusive process that can cost you thousands of dollars.

Halo Fences can be set up virtually anywhere - so your pup can be safe, secure, and free to roam wherever you take them!

The Halo App also offers location monitoring and activity tracking, so you can always see what your pup is up to, even when they are out of sight. 

**More personalized**

The Halo Collar offers customized feedback settings, so you can [choose the right feedback types](https://support.halocollar.com/hc/en-us/articles/360044465574) and intensities to fit your dog's personality! You get to choose from a variety of sounds, vibration patterns, and static levels to administer when your dog is approaching or crossing a boundary. See what works best for you and your dog, and you can always be confident that they are safe.

**More humane**

In [the Halo Training process](https://support.halocollar.com/hc/en-us/articles/360044744233), using Cesar Millan's world-renowned dog psychology and techniques, you and your dog will learn how to effectively use the Halo Collar together - all in a way that makes sense to your pup. Our methods are designed to work with your dog's instincts, unlike today's wired fence alternatives. 

Wired fences traditionally utilize only two days of training, so the dog never truly learns the boundary without continuous use of shock. On the other hand, the Halo Collar's training process makes sure that your dog has a sound understanding of what the boundary is, and how to properly respond to warning feedback by heading back to safety - without ever needing emergency feedback!

### Recently viewed articles

### Related articles"
What role has Cesar Millan played in the design of the Halo System?,"article: <h1>How Has Cesar Millan Been Involved in the Design of the Halo System?</h1>Cesar Millan is the world's foremost expert in dog psychology, so everything the collar does, how it does it, and even the way the Halo Collar looks, has been designed in collaboration with Cesar. This collaboration extends beyond the hardware. Cesar has also built the training program within the app to help you train your dog to respect rules, boundaries, and limitations. By preparing your dog to understand the feedback the collar gives through Cesar's training methods, you'll be well-equipped to create a harmonious relationship with your furry companion and have a successful Halo Collar experience.

### Recently viewed articles

*   [How Is Halo Different From Other “Smart” Collars?](https://support.halocollar.com/hc/en-us/articles/360044463454-How-Is-Halo-Different-From-Other-Smart-Collars)
*   [How to Change the Battery of a Halo Beacon](https://support.halocollar.com/hc/en-us/articles/1500005363602-How-to-Change-the-Battery-of-a-Halo-Beacon)
*   [How to Turn My Halo Beacon on or Off](https://support.halocollar.com/hc/en-us/articles/4411455111831-How-to-Turn-My-Halo-Beacon-on-or-Off)
*   [How to Add a Beacon to Your Halo App](https://support.halocollar.com/hc/en-us/articles/4409307627159-How-to-Add-a-Beacon-to-Your-Halo-App)
*   [Beacon Functions: Keep Away vs. Ignore Fences](https://support.halocollar.com/hc/en-us/articles/4416039963287-Beacon-Functions-Keep-Away-vs-Ignore-Fences)

### Related articles

*   [How Is Halo Different From Other “Smart” Collars?](https://support.halocollar.com/hc/en-us/related/click?data=BAh7CjobZGVzdGluYXRpb25fYXJ0aWNsZV9pZGwrCF6FUtRTADoYcmVmZXJyZXJfYXJ0aWNsZV9pZGwrCHqHUtRTADoLbG9jYWxlSSIKZW4tdXMGOgZFVDoIdXJsSSJTL2hjL2VuLXVzL2FydGljbGVzLzM2MDA0NDQ2MzQ1NC1Ib3ctSXMtSGFsby1EaWZmZXJlbnQtRnJvbS1PdGhlci1TbWFydC1Db2xsYXJzBjsIVDoJcmFua2kG--a4d1ae012743acdb07c043b8e74cd2c413e9185c)
*   [How Accurate Are Halo Fences Compared to Other “Wired” Fences?](https://support.halocollar.com/hc/en-us/related/click?data=BAh7CjobZGVzdGluYXRpb25fYXJ0aWNsZV9pZGwrCL6TUtRTADoYcmVmZXJyZXJfYXJ0aWNsZV9pZGwrCHqHUtRTADoLbG9jYWxlSSIKZW4tdXMGOgZFVDoIdXJsSSJgL2hjL2VuLXVzL2FydGljbGVzLzM2MDA0NDQ2NzEzNC1Ib3ctQWNjdXJhdGUtQXJlLUhhbG8tRmVuY2VzLUNvbXBhcmVkLXRvLU90aGVyLVdpcmVkLUZlbmNlcwY7CFQ6CXJhbmtpBw%3D%3D--65fb9c718e012e661accd47c0494f392ff1b9bd0)
*   [What are Halo Beacons? article: <h1>How Do I Use the Halo System to Train My Dog?</h1>The Halo solution focuses on training both you and your dog, as well as on dog containment and safety. The unique training programs, designed by Cesar Millan, play a crucial role in determining the effectiveness of the Halo system. Cesar Millan's years of training expertise have shaped the functionality of the Halo system, alongside our unique, simple, and proven training programs. You can access these programs by clicking on the training icon at the bottom of the app screen.

**Please note:** the training program can only be accessed on the Halo App

![](https://support.halocollar.com/hc/article_attachments/26672327388055)

**We strongly encourage all pet owners to take the Halo Training Program!**

The Halo Training Program comprises 8 comprehensive lessons that incorporate a variety of reading materials and instructional videos featuring our team of expert trainers. These resources are designed to provide you and your canine companion with the necessary knowledge and skills to effectively utilize your Halo Collar and achieve optimal results.

**Lesson 1: Fitting Collar**

**Lesson 2: Collar Acclimation**

**Lesson 3: Whistle Set up**

**Lesson 4: Recall training** 

**Lesson 5: Prevention Feedback**

**Lesson 6: Indoor Boundary Training**

**Lesson 7: Fence Set Up**

**Lesson 8: Outdoor Boundary Training** 

While you may observe improvements fairly quickly as you advance through the Halo Dog Training program, it's important to understand that it generally takes around 21 days for newly learned behaviors to develop into long-term habits. Therefore, it's crucial to consistently and correctly reinforce the training as outlined to ensure lasting results!

If you have any further questions and would like to speak to our live support team, please feel free to reach out using the following article: [How to Contact Customer Support](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support) and we'll be happy to help!

### Recently viewed articles

### Related articles"
What is the significance of Wi-Fi and cellular coverage for the Halo Collar's functionality?,"article: Does the Halo Collar Require Me To Have Cellular Service?
=========================================================

When you enroll in a Halo Pack Membership your collar automatically gains access to cellular coverage to help keep your pup safe. No additional cellular plans are needed for your Halo Collar to connect. 

Your Halo Collar will protect your dog with even if you have no Wi-Fi and poor or nonexistent cellular coverage. For more information on how this works, please reference: [Will Halo Work When I Don't Have Cellular or Wi-Fi Coverage?](https://support.halocollar.com/hc/en-us/articles/360044471574-Will-Halo-Work-When-I-Don-t-Have-Cellular-or-Wi-Fi-Coverage-i-e-While-Camping-or-Hiking-in-a-Remote-Location-)

For more information regarding the Halo Collar and the Collar's connectivity, please reference [this link](https://support.halocollar.com/hc/en-us/articles/360060888394-What-Is-the-Difference-Between-a-Bluetooth-WIFI-or-LTE-Cellular-Connection-?). We're also happy to help with any questions in our virtual [Dog Park](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support?) so don't hesitate to reach out if you have any questions. article: <h1>Does the Halo Collar Require Me To Have Cellular Service?</h1>When you enroll in a Halo Pack Membership your collar automatically gains access to cellular coverage to help keep your pup safe. No additional cellular plans are needed for your Halo Collar to connect. 

Your Halo Collar will protect your dog with even if you have no Wi-Fi and poor or nonexistent cellular coverage. For more information on how this works, please reference: [Will Halo Work When I Don't Have Cellular or Wi-Fi Coverage?](https://support.halocollar.com/hc/en-us/articles/360044471574-Will-Halo-Work-When-I-Don-t-Have-Cellular-or-Wi-Fi-Coverage-i-e-While-Camping-or-Hiking-in-a-Remote-Location-)

For more information regarding the Halo Collar and the Collar's connectivity, please reference [this link](https://support.halocollar.com/hc/en-us/articles/360060888394-What-Is-the-Difference-Between-a-Bluetooth-WIFI-or-LTE-Cellular-Connection-?). We're also happy to help with any questions in our virtual [Dog Park](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support?) so don't hesitate to reach out if you have any questions.

### Recently viewed articles

*   [What Types of Feedback Does the Collar Provide for My Dog?](https://support.halocollar.com/hc/en-us/articles/360044465574-What-Types-of-Feedback-Does-the-Collar-Provide-for-My-Dog)
*   [When Does the Collar Give Prevention Feedback?](https://support.halocollar.com/hc/en-us/articles/360061320413-When-Does-the-Collar-Give-Prevention-Feedback)
*   [How Does Halo Collar Encourage Dogs to Come Home?](https://support.halocollar.com/hc/en-us/articles/5571078213271-How-Does-Halo-Collar-Encourage-Dogs-to-Come-Home)
*   [Will the Collar Work In My Forested Area?](https://support.halocollar.com/hc/en-us/articles/5576745269911-Will-the-Collar-Work-In-My-Forested-Area)
*   [How to Refer a Friend to Halo Collar](https://support.halocollar.com/hc/en-us/articles/11808911519639-How-to-Refer-a-Friend-to-Halo-Collar)

### Related articles

*   [Will Halo Work When I Don’t Have Cellular or Wi-Fi Coverage (i.e. While Camping or Hiking in a Remote Location)?](https://support.halocollar.com/hc/en-us/related/click?data=BAh7CjobZGVzdGluYXRpb25fYXJ0aWNsZV9pZGwrCBalUtRTADoYcmVmZXJyZXJfYXJ0aWNsZV9pZGwrCJfwTke0BDoLbG9jYWxlSSIKZW4tdXMGOgZFVDoIdXJsSSIBjC9oYy9lbi11cy9hcnRpY2xlcy8zNjAwNDQ0NzE1NzQtV2lsbC1IYWxvLVdvcmstV2hlbi1JLURvbi10LUhhdmUtQ2VsbHVsYXItb3ItV2ktRmktQ292ZXJhZ2UtaS1lLVdoaWxlLUNhbXBpbmctb3ItSGlraW5nLWluLWEtUmVtb3RlLUxvY2F0aW9uBjsIVDoJcmFua2kG--f4064c263086e80882c4be50b61b27675394da88)
*   [What Is the Difference Between a Bluetooth, WIFI, or LTE / Cellular Connection?"
What is the purpose of the virtual Dog Park mentioned in the article?,"article: <h1>Halo Collar Help Center</h1>Visit the Halo Dog Park
-----------------------

The first ever virtual dog park designed for pet parents. Join a live Zoom session with a member of the Halo Support Team during open Dog Park hours, 7 days a week.

![icon](https://support.halocollar.com/hc/theming_assets/01HZPC2SFPWNXFSXCHZ0H8AHBB)

**Halo Store**

![icon](https://support.halocollar.com/hc/theming_assets/01HZPC2SRXMFRAQB8Q4TVFVZP5)

**Expert Training Support**

![icon](https://support.halocollar.com/hc/theming_assets/01HZPC2SKCZBGGP2ARPQB8GEME)

**Technical Support**

![icon](https://support.halocollar.com/hc/theming_assets/01HZPC2SAZ1189NVBE3274BJK2)

**Pack Member Events**

[

Visit the Halo Dog Park

](https://dogpark.halocollar.com/)

For the best experience, visit the Halo Dog Park using Google Chrome. article: <h1>Halo Dog Park Code of Conduct</h1>When in the Halo Dog Park, please follow these guidelines to ensure that everyone has a PAWS-itive experience:

1.  **Help everyone keep their tails wagging:** Treat the Customer Support Team and other Pack members with respect.
2.  **All breeds are welcome here:** Please, no discrimination of any kind.
3.  **No growling, biting, or abusive language.**
4.  **Please enter the Halo Dog Park on foot or paw:** No driving.
5.  **Halo is all about freedom:** However, please remain fully clothed while on camera.
6.  **If you need help troubleshooting your Halo Collar:** Have your collar (make sure it’s charged) and any other accessories nearby so you are ready to work with our Customer Support Team.

All interactions in the Halo Dog Park are recorded. You may choose whether or not to enable your camera. Enjoy your time in the Halo Dog Park!

### Recently viewed articles

*   [How to Sign up for Live Gold Events](https://support.halocollar.com/hc/en-us/articles/19101006501655-How-to-Sign-up-for-Live-Gold-Events)
*   [How to Edit Feedback Settings](https://support.halocollar.com/hc/en-us/articles/25011313674135-How-to-Edit-Feedback-Settings)
*   [Why is my dog's Pet Pin dimmed on My Map?](https://support.halocollar.com/hc/en-us/articles/12804793707159-Why-is-my-dog-s-Pet-Pin-dimmed-on-My-Map)
*   [How to Turn Beacon Event Notifications On and Off](https://support.halocollar.com/hc/en-us/articles/11760365770903-How-to-Turn-Beacon-Event-Notifications-On-and-Off)
*   [What Are Halo Membership Plans and Why Do I Need One?"
"How does the Halo Collar differentiate itself from other ""smart"" collars, based on the context provided?","article: <h1>Halo Collar Overview (Halo 3, 2+, 2, 1)</h1>Welcome to Halo Collar! We’re raising the bar for wireless smart fences and smart collars everywhere. Halo includes all the features you need in one smart solution, so you can bring your best friend the best safety possible.

Take a moment to review the front and rear diagrams to help you get familiar with your Halo Collar.

Front View
----------

![mceclip0.png](https://support.halocollar.com/hc/article_attachments/360068969794)

**1**

Logo Light (Bluetooth connection indicator)

**2**

Power

**3**

Battery / Charge indicator Light

**4**

GPS indicator Light

**5**

Waterproof speaker port

**6**

USB-C Charging and upgrade Port

**7**

Strap retention loop (qty 2)

Rear View
---------

![mceclip2.png](https://support.halocollar.com/hc/article_attachments/360070061953)

**1**

USB-C Charging and alternate upgrade port

**2**

Contact tips - two (2) screw-in contact tips (blanks shown)

**3**

Collar flex-points – these flex to allow the collar to properly fit your dog's neck 

**4**

Strap retention loop - two (2) loops for collar retention and replacement.  One is affixed to each end of the Halo Collar

**5**

Thumbscrew – two (2) screws.  One to secure each of the strap retention loops

**6**

Collar strap buckle

**7**

Collar Strap - Leash-fastening ring (see the **SAFETY NOTE** below)

### Recently viewed articles

### Related articles article: <h1>Can Halo Be Used Along With Another Training Collar?</h1>The Halo Collar was designed for the greatest comfort as a standalone safety solution for dogs. It has not been tested for comfort with other collars, _so we don't recommend using it with another collar device at this time_, as this may cause confusion for the dog. 

However, using a second collar isn't necessary - the Halo Collar can be used to provide your dog with remote guidance for additional training support. This occurs through the ""instant feedback"" feature, which lets you send prompts from your phone to your dog's Halo over Bluetooth, WiFi, or cellular. You can completely customize your dog's feedback from a range of sounds, vibrations, and optional static.

Soon, you'll also be able to record your own sounds to use as feedback!

While the Halo Collar is meant to be used without another training Collar system, we definitely recommend each dog in your household have their own Halo Collar. We also offer a [multi-Collar discount](https://support.halocollar.com/hc/en-us/articles/6177551132567-How-Does-the-Multi-Dog-Discount-Work) when purchasing and we're [here to help if you have any questions!](https://support.halocollar.com/hc/en-us/articles/360043976694-How-to-Contact-Customer-Support?)

### Recently viewed articles

### Related articles"
